          atime         eps_uu         eps_vv         eps_ww         pm1avg           tavg
  2.4000000E+02 -1.4846733E-02 -1.0427664E-02 -1.2661662E-02 -4.7456798E-03  0.0000000E+00
  2.4000000E+02 -1.4144970E-02 -1.0079059E-02 -1.2142974E-02 -4.6401658E-03  0.0000000E+00
  2.4000000E+02 -1.3490791E-02 -9.7423904E-03 -1.1646815E-02 -4.5437288E-03  0.0000000E+00
  2.4000000E+02 -1.2914447E-02 -9.4296660E-03 -1.1202960E-02 -4.4553488E-03  0.0000000E+00
  2.4000000E+02 -1.2408111E-02 -9.1408793E-03 -1.0810089E-02 -4.3739927E-03  0.0000000E+00
  2.4000000E+02 -1.1957251E-02 -8.8727052E-03 -1.0459114E-02 -4.2985767E-03  0.0000000E+00
  2.4000000E+02 -1.1553019E-02 -8.6223059E-03 -1.0143115E-02 -4.2279483E-03  0.0000000E+00
  2.4000000E+02 -1.1191515E-02 -8.3876919E-03 -9.8578415E-03 -4.1609059E-03  0.0000000E+00
  2.4000000E+02 -1.0865742E-02 -8.1660793E-03 -9.5966936E-03 -4.0962721E-03  0.0000000E+00
  2.4000000E+02 -1.0556099E-02 -7.9516902E-03 -9.3441472E-03 -4.0330388E-03  0.0000000E+00
  2.4000000E+02 -1.0231152E-02 -7.7368123E-03 -9.0760153E-03 -3.9705899E-03  0.0000000E+00
  2.4000000E+02 -9.9245380E-03 -7.5396496E-03 -8.8167349E-03 -3.9084136E-03  0.0000000E+00
  2.4000000E+02 -9.6024831E-03 -7.3401046E-03 -8.5446308E-03 -3.8458749E-03  0.0000000E+00
  2.4000000E+02 -9.3017902E-03 -7.1478727E-03 -8.2898859E-03 -3.7825462E-03  0.0000000E+00
  2.4000000E+02 -9.0304395E-03 -6.9651324E-03 -8.0586777E-03 -3.7182211E-03  0.0000000E+00
  2.4000000E+02 -8.7844589E-03 -6.7911172E-03 -7.8479835E-03 -3.6527468E-03  0.0000000E+00
  2.4000000E+02 -8.5580821E-03 -6.6246064E-03 -7.6538925E-03 -3.5859394E-03  0.0000000E+00
  2.4000000E+02 -8.3481795E-03 -6.4648045E-03 -7.4746693E-03 -3.5175637E-03  0.0000000E+00
  2.4000000E+02 -8.1539471E-03 -6.3110745E-03 -7.3098125E-03 -3.4473611E-03  0.0000000E+00
  2.4000000E+02 -7.9728394E-03 -6.1619942E-03 -7.1563516E-03 -3.3751078E-03  0.0000000E+00
  2.4000000E+02 -7.7937317E-03 -6.0142017E-03 -7.0036256E-03 -3.3006857E-03  0.0000000E+00
  2.4000000E+02 -7.5927156E-03 -5.8630118E-03 -6.8308917E-03 -3.2241503E-03  0.0000000E+00
  2.4000000E+02 -7.4055109E-03 -5.7239715E-03 -6.6634495E-03 -3.1456370E-03  0.0000000E+00
  2.4000000E+02 -7.1978596E-03 -5.5806916E-03 -6.4798066E-03 -3.0651724E-03  0.0000000E+00
  2.4000000E+02 -6.9977279E-03 -5.4403902E-03 -6.3014754E-03 -2.9830219E-03  0.0000000E+00
  2.4000000E+02 -6.8127672E-03 -5.3053482E-03 -6.1357896E-03 -2.8994985E-03  0.0000000E+00
  2.4000000E+02 -6.6418005E-03 -5.1756464E-03 -5.9828413E-03 -2.8148388E-03  0.0000000E+00
  2.4000000E+02 -6.4817550E-03 -5.0507736E-03 -5.8402881E-03 -2.7291694E-03  0.0000000E+00
  2.4000000E+02 -6.3308506E-03 -4.9303330E-03 -5.7061358E-03 -2.6425343E-03  0.0000000E+00
  2.4000000E+02 -6.1888541E-03 -4.8140769E-03 -5.5795962E-03 -2.5549543E-03  0.0000000E+00
  2.4000000E+02 -6.0552099E-03 -4.7014969E-03 -5.4601233E-03 -2.4664886E-03  0.0000000E+00
  2.4000000E+02 -5.9258569E-03 -4.5911994E-03 -5.3447295E-03 -2.3772700E-03  0.0000000E+00
  2.4000000E+02 -5.7895418E-03 -4.4802949E-03 -5.2236844E-03 -2.2874827E-03  0.0000000E+00
